Date,BTC-USD,ETH-USD,XRP-USD,SOL-USD,LUNA1-USD,ADA-USD,AVA-USD,DOT-USD,DOGE-USD,MATIC-USD
2021-01-01,29374.15234375,730.3675537109375,0.23744399845600128,1.8420840501785278,0.6494429707527161,0.17534999549388885,0.7945050001144409,8.306818962097168,0.005685000214725733,0.017812000587582588
2021-01-02,32127.267578125,774.5349731445312,0.2216549962759018,1.7992750406265259,0.6314259767532349,0.17742300033569336,0.7613480091094971,9.208836555480957,0.010614999569952488,0.019043000414967537
2021-01-03,32782.0234375,975.5076904296875,0.2258480042219162,2.1617519855499268,0.6618949770927429,0.20499500632286072,0.760217010974884,10.033283233642578,0.009770999662578106,0.019974999129772186
2021-01-04,31971.9140625,1040.2330322265625,0.23667700588703156,2.4850969314575195,0.6702439785003662,0.2247619926929474,0.8180819749832153,9.469611167907715,0.009766999632120132,0.0246140006929636
2021-01-05,33992.4296875,1100.006103515625,0.22675000131130219,2.157217025756836,0.7166739702224731,0.25831401348114014,0.8872159719467163,9.701656341552734,0.009920000098645687,0.024467000737786293
2021-01-06,36824.36328125,1207.1121826171875,0.2508949935436249,1.929216980934143,0.7161769866943359,0.3318980038166046,1.000141978263855,10.096068382263184,0.010464999824762344,0.03513500094413757
2021-01-07,39371.04296875,1225.6781005859375,0.32600200176239014,2.3727450370788574,0.8590080142021179,0.2999800145626068,0.9841560125350952,9.644584655761719,0.00974200014024973,0.03299900144338608
2021-01-08,40797.609375,1224.1971435546875,0.32322999835014343,3.2198870182037354,0.8525720238685608,0.3055970072746277,0.9997270107269287,9.307134628295898,0.009846000000834465,0.0317390002310276
2021-01-09,40254.546875,1281.0772705078125,0.32691600918769836,3.3853819370269775,0.8190150260925293,0.33297300338745117,1.042104959487915,9.777765274047852,0.010193999856710434,0.03351299837231636
2021-01-10,38356.44140625,1262.2467041015625,0.31833600997924805,3.466110944747925,0.8470690250396729,0.3048950135707855,0.9642540216445923,9.305047988891602,0.009859999641776085,0.030410999432206154
