Date,BTC,ETH,XRP,SOL,LUNA,ADA,AVA,DOT,DOGE,MATIC
2021-06-01,36684.92578125,2633.518310546875,1.0110009908676147,30.985260009765625,6.303988933563232,1.7347530126571655,2.89957594871521,22.81084632873535,0.3700770139694214,1.8211640119552612
2021-06-02,37575.1796875,2706.125,1.024399995803833,33.95631790161133,6.841399192810059,1.7528239488601685,2.936415910720825,25.957727432250977,0.4233739972114563,1.7958970069885254
2021-06-03,39208.765625,2855.12646484375,1.045320987701416,39.47090530395508,7.672639846801758,1.8404710292816162,3.215851068496704,27.013458251953125,0.39996299147605896,1.8238459825515747
2021-06-04,36894.40625,2688.195068359375,0.970196008682251,37.415069580078125,6.385731220245361,1.710908055305481,3.0234758853912354,25.008298873901367,0.37632301449775696,1.631484031677246
2021-06-05,35551.95703125,2630.576904296875,0.9232860207557678,39.58539962768555,6.0553460121154785,1.6590089797973633,2.8716630935668945,23.816770553588867,0.37217700481414795,1.5273339748382568
2021-06-06,35862.37890625,2715.0927734375,0.945285975933075,42.30837631225586,6.249195098876953,1.6782480478286743,2.8708930015563965,24.20159912109375,0.3718070089817047,1.5834280252456665
2021-06-07,33560.70703125,2590.26318359375,0.8611549735069275,38.262332916259766,5.584114074707031,1.5641059875488281,2.6197071075439453,21.6269588470459,0.33105000853538513,1.4801219701766968
2021-06-08,33472.6328125,2517.438720703125,0.8757879734039307,41.51781463623047,5.619856834411621,1.5880299806594849,2.740365982055664,21.745269775390625,0.32768699526786804,1.485098958015442
2021-06-09,37345.12109375,2608.26708984375,0.9200339913368225,42.031776428222656,6.0163421630859375,1.6248259544372559,2.870352029800415,23.184938430786133,0.3433310091495514,1.4924269914627075
2021-06-10,36702.59765625,2471.5185546875,0.8691819906234741,41.09867477416992,6.136998176574707,1.5318570137023926,2.8180320262908936,22.684816360473633,0.32635098695755005,1.3622050285339355
2021-06-11,37334.3984375,2353.768798828125,0.8484500050544739,36.046085357666016,5.551538944244385,1.436378002166748,2.5737879276275635,20.985857009887695,0.3193590044975281,1.251965045928955
2021-06-12,35552.515625,2372.484375,0.8326830267906189,36.441688537597656,5.4975080490112305,1.4802199602127075,2.49611496925354,20.777036666870117,0.31208398938179016,1.3412690162658691
2021-06-13,39097.859375,2508.3916015625,0.8831599950790405,38.77043533325195,6.072099208831787,1.5583590269088745,2.8263471126556396,22.07633399963379,0.3243820071220398,1.4692169427871704
2021-06-14,40218.4765625,2537.89111328125,0.8928970098495483,38.71305465698242,6.03755521774292,1.5751099586486816,2.8921151161193848,22.20535659790039,0.3320850133895874,1.4778629541397095
2021-06-15,40406.26953125,2610.936767578125,0.8898000121116638,41.153648376464844,6.58910608291626,1.597756028175354,2.900038957595825,24.760835647583008,0.3283810019493103,1.6914600133895874
2021-06-16,38347.0625,2367.66357421875,0.8319079875946045,39.703617095947266,6.174939155578613,1.4825730323791504,3.3564400672912598,22.97217559814453,0.307761013507843,1.4771970510482788
2021-06-17,38053.50390625,2372.001953125,0.8414379954338074,39.264591217041016,6.154644012451172,1.482193946838379,3.094266891479492,22.51145362854004,0.3064959943294525,1.5037939548492432
2021-06-18,35787.24609375,2231.733154296875,0.797648012638092,36.64879608154297,5.917374134063721,1.415395975112915,2.8184659481048584,21.398895263671875,0.2934719920158386,1.3772610425949097
2021-06-19,35615.87109375,2178.4990234375,0.7616729736328125,35.35343551635742,5.763191223144531,1.390570044517517,2.759366989135742,20.355941772460938,0.2873559892177582,1.3636950254440308
2021-06-20,35698.296875,2246.364501953125,0.7763770222663879,35.32201385498047,5.891520023345947,1.4291880130767822,2.6768980026245117,20.67236328125,0.2809000015258789,1.3989959955215454
2021-06-21,31676.693359375,1888.447509765625,0.6103879809379578,26.657400131225586,4.842235088348389,1.1774799823760986,2.206554889678955,15.769904136657715,0.17869099974632263,1.0990519523620605
2021-06-22,32505.66015625,1874.9500732421875,0.5450670123100281,26.7718563079834,4.711923122406006,1.1532540321350098,2.145543098449707,14.652412414550781,0.19103099405765533,1.0743839740753174
2021-06-23,33723.02734375,1989.736328125,0.6265349984169006,30.048887252807617,5.252572059631348,1.2528959512710571,2.277761936187744,16.14249038696289,0.23217399418354034,1.1585869789123535
2021-06-24,34662.4375,1988.456298828125,0.671999990940094,31.181034088134766,5.454391956329346,1.3560869693756104,2.276141881942749,16.253658294677734,0.2627820074558258,1.2031480073928833
2021-06-25,31637.779296875,1813.21728515625,0.6133229732513428,28.698862075805664,5.06310510635376,1.256477952003479,2.17349910736084,14.467696189880371,0.23915299773216248,1.0461629629135132
2021-06-26,32186.27734375,1829.2392578125,0.615435004234314,29.712854385375977,5.2019171714782715,1.250440001487732,2.138145923614502,14.499611854553223,0.24478399753570557,1.0754530429840088
2021-06-27,34649.64453125,1978.8946533203125,0.6469230055809021,31.929391860961914,5.400850772857666,1.3352019786834717,2.1847429275512695,15.015593528747559,0.2644500136375427,1.1120330095291138
2021-06-28,34434.3359375,2079.657470703125,0.643746018409729,32.92778015136719,5.529632091522217,1.3247519731521606,2.233513116836548,15.740378379821777,0.2568570077419281,1.119223952293396
